,Title,Genre,Rating,Description,Director,Votes,Gross,Weather,Season
10653,Vihreä kulta,"Drama, Romance",5.3,"Governess Kristine Bergman arrives in her native Lapland with her husband Gustav Bergman. On a night-time sleigh ride, she meets and falls in love with the head forester Suontaa, who responds to her feelings.",Valentin Vaala,69,0,Snow,Winter
10654,Sharkey 2. Winter massacre,"Short, Action, Comedy",8.8,A super duper collector challenges Sharky to a duel in the woods to beat him out of a loan. Sharkey accepts this challenge.,Sergey A.,15,0,Snow,Winter
10655,The Glowing Hours,"Short, Drama",8.5,A young girl looks to the past to remember a promise she once made.,Paul Young,40,0,Snow,Winter
10656,Orphans of the North,"Action, Adventure, Comedy",5.3,"Prospector ""Bedrock"" Brown comes to a settlement in the Taku River area of Alaska, and gets new supplies and a grubstake from Taku Mary,airplane pilot and owner of the local trading post. ...                See full summary »",Norman Dawn,17,0,Snow,Winter
10657,Il grande freddo,Short,7.3,Add a Plot,Alberto Grifi,10,0,Snow,Winter
10658,Yuki tani no shuraba,"Short, Drama",8.4,Two childhood friends that could have been something more meet on a snow-swept plain. The wintry landscape reflects the coldness that has grown between them. An icy wall that can only be melted by the heat of blood.,Mike Nesbitt,20,0,Snow,Winter
10659,Monkey Spa,"Documentary, Short, Adventure",9.2,This film aims to point out the insufficient utilization of geothermal energy resources in Serbia and propose measures to solve this problem.,Dragan Zivancevic,15,0,Snow,Winter
10660,Rastløs,"Short, Drama",4.2,"Tinna a 44 year old ex-drug addict is well out of a positive treatment and is ready to make a turn-around in her life. Her son Martin, also a drug addict is crashing on her couch in her ...                See full summary »",Asger Krøjer Kallesøe,18,0,Snow,Winter
10661,Le silence sous l'écorce,"Animation, Short, Fantasy",6.6,"Two tree-creatures hibernating underneath the bark of their respective tree wake up by the quakes produced by the snowfall outside, so they go out to explore and that's how they meet each other.",Joanna Lurie,247,0,Snow,Winter
10662,Nimrod and Stinky's Antarctic Adventure,"Animation, Short",4.3,Zookeeper Nat Jones flies to the antarctic determined to get Popper's Penguins back.,Carlos Ramos,12,0,Snow,Winter
10663,Discoverer,"Documentary, Short, Adventure",8.2,"Discoverer is a documentary about the British Army Antarctic Expedition. It follows their progress starting with a crossing of the notorious Drake Passage to the Antarctic Peninsula, where ...                See full summary »",Martin Carey,33,0,Snow,Winter
10664,"Sosnowiec, Poland","Short, Drama",9.5,"Short documentary film shot in Sosnowiec, Poland in late January, 2015. Based on improvised recordings made there while the filmmaker was looking for someone he had known for almost six years, but only from behind the glass.",Jorge Yacoman,10,0,Snow,Winter
10665,Mtsvervalta dampkrobni,"Adventure, Drama, War",5.0,Add a Plot,Davit Rondeli,10,0,Snow,Winter
10666,Shaun Palmer's Pro Snowboarder,"Action, Sport",6.5,A snowboarding video game starring Shaun Palmer.,Shaun Palmer,11,0,Snow,Winter
10667,Die Überführung,Drama,7.2,Add a Plot,Kurt Wilhelm,13,0,Snow,Winter
10668,Winter's Blood,"Short, Horror",7.1,"After being pursued through the snow by a masked stranger, a woman becomes entangled in a dark year-end ritual.",Parker Brennon,46,0,Snow,Winter
10669,The Tortoise Wins Again,"Animation, Short, Comedy",5.6,"In one of the great (hooray!)spoiler titles of all time, this version of the Hare vs. Tortoise fable finds the contest being done on ice skates between teams of rabbits and turtles, and the...                See full summary »",Connie Rasinski,20,0,Snow,Winter
10670,Burton US Open 2007 Snowboarding Championships,Sport,9.3,"The world's best men and women snowboarders compete at the 25th Annual US Open Snowboarding Championships at Stratton Mountain, Vermont March 16-18.",Erich Lyttle,10,0,Snow,Winter
10671,Re-Imagining the Goblin,"Documentary, Short",6.8,Get the goods on how the creators re-imagined the Goblin as a Ninja snowboarder and the design of his infamous Sky-Stick.,James Acheson,15,0,Snow,Winter
10672,Merry Dog,"Animation, Short",6.4,"A starving wolf leaves his home in the city dump and, after tying up Santa Claus and stealing his costume, breaks into the home of Pooch the Pup and his girlfriend to turn them into a tasty...                See full summary »",Walter Lantz,20,0,Snow,Winter
10673,A Christmas Monstrosity,"Comedy, Horror, Mystery",8.5,A snow-beast terrorizes a small mobile home community.,Rhonda Parker,12,0,Snow,Winter
10674,Bicicles,Documentary,7.7,We show how riding your bike to work in the winter is an everyday thing and that it's 'totally normal!',Kim Kelln,7,0,Snow,Winter
10675,Tête blanche,"Short, Drama, Sci-Fi",7.2,"Wherever Marjorie walks, the ground is covered with a thick layer of snow. It has been many weeks since she has even hoped of finding someone. There is no life anywhere, except for a dog that follows her from town to town.",Patrick Boivin,15,0,Snow,Winter
10676,Samurai,"Short, Drama",6.4,Add a Plot,Niels Christian Thornberg,6,0,Snow,Winter
10677,Näinä päivinä,"Documentary, Short",6.2,Add a Plot,Jörn Donner,6,0,Snow,Winter
10678,A Breath Of Summer,Short,6.2,Feel the rush of the breathtakingly beautiful National Parks of California with one deep breath of the summer air.,Brian Mok,6,0,Snow,Winter
10679,Wait,"Short, Drama, Family",8.6,A young girl waits for a bus in the snowy New England countryside.,Ritchie Wilson,8,0,Snow,Winter
10680,Clinch,Short,5.7,"Ralle and PH meet again after ten years. PH have moved back to the countryside, which Ralle never left, now with wife and kid. The meeting degenerates to a dramatic settlement with tragic ...                See full summary »",Håkan Lindhé,10,0,Snow,Winter
10681,Ada,"Short, Drama",8.7,"Ada, a 14 girl, lives alone in a snowy mountain. When she gets out of food and power, she leaves her home and travels through snowy and deserted mountains to look for another place to live.",Karlos Alastruey,20,0,Snow,Winter
10682,Vapaapäivä,"Short, Drama, Family",5.6,Add a Plot,Aku Louhimies,5,0,Snow,Winter
10683,Trampoline Ninjas,"Short, Action, Adventure",7.8,Add a Plot,Aaron Oberlander,7,0,Snow,Winter
10684,Kivalina of the Ice Lands,"Action, Adventure, Drama",4.5,"A fictional tale of the trials and tribulations faced by Arctic explorers, filmed by a real Arctic explorer, about a man's steadfast devotion to his quest, and a native-woman's love beneath...                See full summary »",Earl Rossman,21,0,Snow,Winter
10685,Rollin' Christmas,"Animation, Short",7.3,It is Christmas. The bullet-ridden reindeer have landed on the snowy roof of a house with sled and all. If only that goes well.,Kyra Buschor,17,0,Snow,Winter
10686,Behind the scenes with The World is Not Enough,"Documentary, Short, Action",8.4,Add a Plot,Desmond Llewelyn,8,0,Snow,Winter
10687,De mémoires d'ouvriers,Documentary,7.0,Add a Plot,Gilles Perret,8,0,Snow,Winter
10688,Les traces du rêve,"Documentary, Biography",7.6,"-From the gardens of Versailles (in France), to Île-aux-Coudres (in Quebec, Canada), this feature documentary chronicles Pierre Perrault's exceptional cinematographic adventure, an ...                See full summary »",Jean-Daniel Lafond,15,0,Snow,Winter
10689,"Christmas Snows, Christmas Winds",Short,6.0,"Mingling with children enjoying a Christmas display in a city department store, a middle-aged man recalls pleasant memories of candy, pies & cookies, the school pageant, the decorated tree ...                See full summary »",Sterling Van Wagenen,25,0,Snow,Winter
10690,The Torne River,"Documentary, Short",9.2,"In Europe's far north, above the Arctic Circle, a group of artists builds a new hotel in snow and ice. Every year.",Mattias Löw,30,0,Snow,Winter
10691,Nokomi,"Animation, Short",6.7,"The awkward relationship between Nokomi, a little Inuit girl, and her father is going to lead her into an extraordinary experience with a snow monster.",Caroline Collinot,6,0,Snow,Winter
10692,Thrills and Chills,"Animation, Short, Sport",5.8,Betty Boop and Pudgy take the train to a ski resort and enjoy the winter sports while Betty evades a masher.,Dave Fleischer,105,0,Snow,Winter
10693,Endlose Stille,"Short, Drama, Romance",6.5,The last memories of a young suicide victim.,Torsten Lenz,19,0,Snow,Winter
10694,L'ami y'a bon,"Animation, Short, Drama",6.8,"Tells the tragic story of the Senegalese colonials who were drafted to help repel the German blitzkrieg invasion of France in World War II. ""The Colonial Friend"" is an animated film in ...                See full summary »",Rachid Bouchareb,67,0,Snow,Winter
10695,Aspen Delight,Comedy,6.5,Add a Plot,Simon Jul Jørgensen,16,0,Snow,Winter
10696,Mountain Fever,"Short, Adventure, Mystery",6.6,"A team of alpinists is stuck in an apocalyptic snow storm in great heights. When one of them goes missing, they have to conduct a hazardous search.",Frédéric Hambalek,10,0,Snow,Winter
10697,Flutter,"Animation, Short",6.0,"On a windy day, two small pieces of newspaper get stuck on the ends of a boy's running shoes, forming what look to be a pair of wings. Later that day, the boy is running in a track meet. ...                See full summary »",Howie Shia,25,0,Snow,Winter
10698,Luftens vagabond,Drama,4.2,"A group of young people are hiking in the mountains. Among them are Gull Werner, who is a happy girl, and her father has asked the others to keep an eye on her. She walks in the wilderness, falls in the snow and becomes unconscious.",Weyler Hildebrand,10,0,Snow,Winter
10699,Ice World,"Documentary, Short",9.2,"In Europe's far north, above the Arctic Circle, a group of artists builds a new hotel in snow and ice. Every year.",Mattias Löw,28,0,Snow,Winter
10700,Rinoplasticos: A Frozen Land,"Short, Adventure, Sci-Fi",7.5,Minipupa and Riplat get the mission to stop a snow relic that is threatening the whole world. Meanwhile the evil Manicomio sends his best men to find the relic. Along the way the find ice Rinoplasticos,Pauli Janhunen Calderón,15,0,Snow,Winter
10701,Nordlys,"Short, Drama",6.6,"Two brothers embark on a journey north to find the northern lights, but what they're really searching for is each other and the light within themselves.",Kristoffer Kiørboe,8,0,Snow,Winter
10702,Ik-Chemtan,Drama,8.0,Add a Plot,Zaza Khalvashi,8,0,Snow,Winter
10703,Elias,"Drama, Fantasy",5.4,"The story of a boy and his journey deep into the dark, snow-bound forest, his fight to save a girl's life, and growth towards understanding.",Emilia Petterberg,10,0,Snow,Winter
10704,Shooting Through It,"Documentary, Short",6.0,Details Adam Green's partnership with cinematographer Will Barratt; their approach to pulling off Frozen's complicated visuals; and Production Designer Bryan McBrien's coordination of the build of the 'set' on a snowbound mountaintop.,Adam Barnick,7,0,Snow,Winter
10705,Jocelyn,"Drama, Romance",6.5,"Adaptation of a romantic Lamartine poem.A youth leaves a monastery where he has stayed, after the anti-religious terror of the Revolution.He befriends a youth who turns out to be a girl.But his former bishop calls Jocelyn back to duty.",Léon Poirier,15,0,Snow,Winter
10706,The Man with the Silver Case,"Short, Drama, Sci-Fi",7.9,"Why is a masked man running through the snowy woods with a mysterious silver case, and why are techs huddled in front of a computer screen in a darkened room?",Max Lalanne,16,0,Snow,Winter
10707,Ice Carosello,"Documentary, Short, Adventure",8.0,"A short story about three men, a couple of chain saws, one snow mobile, some bystanders and lots of ice.",Mattias Löw,910,0,Snow,Winter
10708,Rangierer,"Documentary, Short",6.8,"A shunter's job is to slow down, link, and unlink train wagons at a central station. The film documents - without any commentary - the working hours of few shunters at the shunting-station ...                See full summary »",Jürgen Böttcher,91,0,Snow,Winter
10709,Silent Takedown,"Short, Action",6.9,"Shows an attempt of young police officers trying to take down a drug warehouse. A battle between good and evil ensues, while the bad guys desperately try to protect their precious white snow.",Julien Kerknawi,7,0,Snow,Winter
10710,DR-Derude: Grønland - Den sidste slæderejse,Documentary,8.1,Add a Plot,Claus Birkbøll,15,0,Snow,Winter
10711,Angels',Short,6.3,Add a Plot,Stan Brakhage,9,0,Snow,Winter
10712,Vagankovo. Whisper of the wandering spirit,"Short, Fantasy, Horror",9.2,The spirit wanders around the Vagankovskoe cemetery.,Sergey A.,13,0,Snow,Winter
